
=== Run started 2026-02-24 08:57:22.860824 ===
[OK] Q2020-001 | Chronic Care Management | Hypertension Management | Pharmacology | conf=High
[OK] Q2023-610 | Acute Care and Diagnosis | Postinflammatory Hyperpigmentation | Diagnosis | conf=High
[OK] Q2023-611 | Chronic Care Management | CKD-Mineral Bone Disorder | Management | conf=High
[OK] Q2023-612 | Chronic Care Management | Drug-Induced Galactorrhea | Pharmacology | conf=High
[OK] Q2023-613 | Emergent and Urgent Care | Acute Myocardial Infarction Management | Management | conf=High
[OK] Q2023-614 | Acute Care and Diagnosis | Community-Acquired Pneumonia | Management | conf=High
[OK] Q2023-615 | Chronic Care Management | Osteoporosis Management | Management | conf=High
[OK] Q2023-616 | Acute Care and Diagnosis | Celiac Disease Diagnosis | Diagnosis | conf=High
[OK] Q2023-617 | Chronic Care Management | Opioid-Induced Hypogonadism | Pathophysiology | conf=High
[OK] Q2023-618 | Emergent and Urgent Care | Hypothermia Management | Management | conf=High
[OK] Q2023-619 | Preventive Care | Prediabetes Screening | Screening | conf=High
[OK] Q2023-620 | Emergent and Urgent Care | Acute Ischemic Stroke Management | Management | conf=High
[OK] Q2023-621 | Acute Care and Diagnosis | Iron Deficiency Anemia | Interpretation | conf=High
[OK] Q2023-622 | Chronic Care Management | Dementia with Lewy Bodies | Diagnosis | conf=High
[OK] Q2023-623 | Preventive Care | Critical Congenital Heart Disease Screening | Screening | conf=High
[OK] Q2023-624 | Acute Care and Diagnosis | Erythema Nodosum | Diagnosis | conf=High
[OK] Q2023-625 | Acute Care and Diagnosis | Vocal Cord Dysfunction | Diagnosis | conf=High
[OK] Q2023-626 | Acute Care and Diagnosis | Diverticulitis Management | Management | conf=High
[OK] Q2023-627 | Chronic Care Management | Lumbar Spinal Stenosis | Diagnosis | conf=High
[OK] Q2023-628 | Foundations of Care | Primary Hyperaldosteronism | Pathophysiology | conf=High
[OK] Q2023-629 | Emergent and Urgent Care | High-Altitude Cerebral Edema | Diagnosis | conf=High
[OK] Q2023-630 | Chronic Care Management | Medication-Induced Adverse Effects | Pharmacology | conf=High
[OK] Q2023-631 | Chronic Care Management | Functional Constipation in Children | Management | conf=High
[OK] Q2023-632 | Acute Care and Diagnosis | Obesity Hypoventilation Syndrome | Diagnosis | conf=High
[OK] Q2023-633 | Chronic Care Management | Polymyalgia Rheumatica Management | Pharmacology | conf=High
[OK] Q2023-634 | Emergent and Urgent Care | Serotonin Syndrome | Management | conf=High
[OK] Q2023-635 | Chronic Care Management | Advanced Dementia Palliative Care | Management | conf=High
[OK] Q2023-636 | Acute Care and Diagnosis | Soft Tissue Mass Evaluation | Diagnosis | conf=High
[OK] Q2023-637 | Chronic Care Management | Type 2 Diabetes Nephroprotection | Pharmacology | conf=High
[OK] Q2023-638 | Preventive Care | Dental Caries Prevention | Management | conf=High
[OK] Q2023-639 | Preventive Care | Cardiovascular Risk Assessment | Screening | conf=High
[OK] Q2023-640 | Preventive Care | Autism Spectrum Disorder Screening | Screening | conf=High
[OK] Q2023-641 | Chronic Care Management | Obstructive Sleep Apnea | Management | conf=High
[OK] Q2023-642 | Chronic Care Management | Fibromyalgia Management | Pharmacology | conf=High
[OK] Q2023-643 | Chronic Care Management | Primary Hyperparathyroidism | Management | conf=High
[OK] Q2023-644 | Preventive Care | HIV Screening | Screening | conf=High
[OK] Q2023-645 | Emergent and Urgent Care | Radial Nerve Injury | Diagnosis | conf=High
[OK] Q2023-646 | Chronic Care Management | GERD and Esophagitis | Pharmacology | conf=High
[OK] Q2023-647 | Chronic Care Management | Gender Dysphoria Management | Management | conf=High
[OK] Q2023-648 | Chronic Care Management | Heart Failure with Preserved Ejection Fraction | Pharmacology | conf=High
[OK] Q2023-649 | Emergent and Urgent Care | Pneumothorax Diagnosis and Management | Management | conf=High
[OK] Q2023-650 | Chronic Care Management | Telogen Effluvium | Management | conf=High
[OK] Q2023-651 | Chronic Care Management | Osteoarthritis Management | Pharmacology | conf=High
[OK] Q2023-652 | Preventive Care | Traveler's Diarrhea Prophylaxis | Pharmacology | conf=High
[OK] Q2023-653 | Chronic Care Management | Polycythemia Differential Diagnosis | Diagnosis | conf=High
[OK] Q2023-654 | Chronic Care Management | Genitourinary Atrophy | Management | conf=High
[OK] Q2023-655 | Chronic Care Management | Medication-Induced Hyponatremia | Pharmacology | conf=High
[OK] Q2023-656 | Acute Care and Diagnosis | Primary Amenorrhea | Diagnosis | conf=High
[OK] Q2023-657 | Chronic Care Management | Opioid Use Disorder in Pregnancy | Management | conf=High
[OK] Q2023-658 | Chronic Care Management | Asymptomatic Hyperuricemia Management | Management | conf=High
[OK] Q2023-659 | Foundations of Care | Physician Impairment and Reporting | Management | conf=High
[OK] Q2023-660 | Acute Care and Diagnosis | Acute Bronchitis Management | Management | conf=High
[OK] Q2023-661 | Acute Care and Diagnosis | Venous Leg Ulcer Assessment | Diagnosis | conf=High
[OK] Q2023-662 | Chronic Care Management | ACE Inhibitor-Induced Renal Function Changes | Management | conf=High
[OK] Q2023-663 | Acute Care and Diagnosis | Functional Dyspepsia and Alarm Symptoms | Diagnosis | conf=High
[OK] Q2023-664 | Preventive Care | Cancer Screening in ESRD | Screening | conf=High
[OK] Q2023-665 | Chronic Care Management | Testosterone Deficiency Evaluation | Diagnosis | conf=High
[OK] Q2023-666 | Preventive Care | Tuberculosis Screening | Screening | conf=High
[OK] Q2023-667 | Chronic Care Management | De Quervain Tenosynovitis | Management | conf=High
[OK] Q2023-668 | Acute Care and Diagnosis | Fungal Infection Treatment | Management | conf=High
[OK] Q2023-669 | Emergent and Urgent Care | Cardiac Arrest Resuscitation | Management | conf=High
[OK] Q2023-670 | Acute Care and Diagnosis | Hemoptysis Evaluation | Diagnosis | conf=High
[OK] Q2023-671 | Acute Care and Diagnosis | Microcytic Anemia Diagnosis | Diagnosis | conf=High
[OK] Q2023-672 | Foundations of Care | Borderline Personality Disorder | Diagnosis | conf=High
[OK] Q2023-673 | Preventive Care | Screening and Overdiagnosis | Screening | conf=High
[OK] Q2023-674 | Chronic Care Management | Menopausal Hot Flashes | Pharmacology | conf=High
[OK] Q2023-675 | Preventive Care | Surgical Site Infection Prophylaxis | Management | conf=High
[OK] Q2023-676 | Emergent and Urgent Care | Acute Asthma Exacerbation | Pharmacology | conf=High
[OK] Q2023-677 | Chronic Care Management | Hypertension Management | Pathophysiology | conf=High
[OK] Q2023-678 | Acute Care and Diagnosis | Cervical Myelopathy | Diagnosis | conf=High
[OK] Q2023-679 | Chronic Care Management | Chronic Urticaria Management | Management | conf=High
[OK] Q2023-680 | Emergent and Urgent Care | Heat-Related Illness | Diagnosis | conf=High
[OK] Q2023-681 | Chronic Care Management | Polycystic Ovary Syndrome | Management | conf=High
[OK] Q2023-682 | Acute Care and Diagnosis | Paget's Disease of Bone | Diagnosis | conf=High
[OK] Q2023-683 | Chronic Care Management | Hospice and Palliative Care | Counseling | conf=High
[OK] Q2023-684 | Chronic Care Management | COPD Diagnosis and Workup | Diagnosis | conf=High
[OK] Q2023-685 | Chronic Care Management | Atrial Fibrillation Anticoagulation | Management | conf=High
[OK] Q2023-686 | Chronic Care Management | Gastroesophageal Reflux in Infants | Management | conf=High
[OK] Q2023-687 | Acute Care and Diagnosis | COVID-19 Testing and Diagnosis | Interpretation | conf=High
[OK] Q2023-688 | Chronic Care Management | Heavy Menstrual Bleeding Management | Management | conf=High
[OK] Q2023-689 | Acute Care and Diagnosis | SIADH and Hyponatremia | Management | conf=High
[OK] Q2023-690 | Acute Care and Diagnosis | Pseudogout and Crystal Arthropathies | Diagnosis | conf=High
[OK] Q2023-691 | Chronic Care Management | Stable Angina Management | Pharmacology | conf=High
[OK] Q2023-692 | Chronic Care Management | Bipolar I Disorder Diagnosis | Diagnosis | conf=High
[OK] Q2023-693 | Acute Care and Diagnosis | RSV Bronchiolitis Management | Management | conf=High
[OK] Q2023-694 | Chronic Care Management | Palliative Care and Hospice | Counseling | conf=High
[OK] Q2023-695 | Acute Care and Diagnosis | Hearing Loss Diagnosis | Diagnosis | conf=High
[OK] Q2023-696 | Acute Care and Diagnosis | Nephrolithiasis Management | Management | conf=High
[OK] Q2023-697 | Chronic Care Management | Onychomycosis Treatment | Pharmacology | conf=High
[OK] Q2023-698 | Acute Care and Diagnosis | Thyroiditis | Management | conf=High
[OK] Q2023-699 | Chronic Care Management | Hypertension and Renal Artery Stenosis | Pharmacology | conf=High
[OK] Q2023-700 | Foundations of Care | Transgender Health and Inclusive Care | Management | conf=High
[OK] Q2023-701 | Acute Care and Diagnosis | Community-Acquired Pneumonia | Management | conf=High
[OK] Q2023-702 | Chronic Care Management | Trigger Finger | Management | conf=High
[OK] Q2023-703 | Preventive Care | Down Syndrome Health Maintenance | Screening | conf=High
[OK] Q2023-704 | Preventive Care | Hepatitis C Screening | Interpretation | conf=High
[OK] Q2023-705 | Chronic Care Management | Anorexia Nervosa Complications | Pathophysiology | conf=High
[OK] Q2023-706 | Acute Care and Diagnosis | Infectious Mononucleosis Management | Pharmacology | conf=High
[OK] Q2023-707 | Acute Care and Diagnosis | Orthostatic Hypotension | Diagnosis | conf=High
[OK] Q2023-708 | Chronic Care Management | COPD Pharmacotherapy | Pharmacology | conf=High
[OK] Q2023-709 | Chronic Care Management | Piriformis Syndrome | Management | conf=High
[OK] Q2023-710 | Acute Care and Diagnosis | Zika Virus Infection | Diagnosis | conf=High
[OK] Q2023-711 | Acute Care and Diagnosis | Hand-Foot-and-Mouth Disease | Management | conf=High
[OK] Q2023-712 | Chronic Care Management | Primary Ovarian Insufficiency | Management | conf=High
[OK] Q2023-713 | Emergent and Urgent Care | Guillain-Barré Syndrome | Diagnosis | conf=High
[OK] Q2023-714 | Preventive Care | Type 2 Diabetes Screening | Screening | conf=High
[OK] Q2023-715 | Preventive Care | Evidence-Based Medicine Statistics | Interpretation | conf=High
[OK] Q2023-716 | Emergent and Urgent Care | Hip Fracture Perioperative Management | Management | conf=High
[OK] Q2023-717 | Acute Care and Diagnosis | Pertussis Diagnosis | Diagnosis | conf=High
[OK] Q2023-718 | Chronic Care Management | Pediatric Major Depressive Disorder | Pharmacology | conf=High
[OK] Q2023-719 | Chronic Care Management | Stroke Prevention and Secondary Prevention | Management | conf=High
[OK] Q2023-720 | Emergent and Urgent Care | Acute Pancreatitis Management | Management | conf=High
[OK] Q2023-721 | Preventive Care | Supplement Safety and Harm Prevention | Counseling | conf=High
[OK] Q2023-722 | Acute Care and Diagnosis | Posterior Tibialis Tendinopathy | Diagnosis | conf=High
[OK] Q2023-723 | Acute Care and Diagnosis | Hypertrophic Cardiomyopathy | Diagnosis | conf=High
[OK] Q2023-724 | Acute Care and Diagnosis | Acute Rhinosinusitis Management | Management | conf=High
[OK] Q2023-725 | Chronic Care Management | End-of-Life Care Planning | Management | conf=High
[OK] Q2023-726 | Chronic Care Management | Recurrent Nephrolithiasis | Diagnosis | conf=High
[OK] Q2023-727 | Acute Care and Diagnosis | Chlamydial Infection Treatment | Management | conf=High
[OK] Q2023-728 | Emergent and Urgent Care | Black Widow Spider Bite | Management | conf=High
[OK] Q2023-729 | Acute Care and Diagnosis | Alcohol Withdrawal Syndrome | Pharmacology | conf=High
[OK] Q2023-730 | Chronic Care Management | Type 2 Diabetes Management | Management | conf=High
[OK] Q2023-731 | Emergent and Urgent Care | Distal Radius Fracture Management | Management | conf=High
[OK] Q2023-732 | Chronic Care Management | Venous Thromboembolism Management | Management | conf=High
[OK] Q2023-733 | Chronic Care Management | Home Health Services Eligibility | Management | conf=High
[OK] Q2023-734 | Acute Care and Diagnosis | Viral Laryngitis Management | Management | conf=High
[OK] Q2023-735 | Emergent and Urgent Care | Acute Appendicitis Imaging | Diagnosis | conf=High
[OK] Q2023-736 | Chronic Care Management | Diabetic Retinopathy | Pathophysiology | conf=High
[OK] Q2023-737 | Chronic Care Management | Topical Corticosteroid Safety | Pharmacology | conf=High
[OK] Q2023-738 | Emergent and Urgent Care | Anaphylaxis Management | Management | conf=High
[OK] Q2023-739 | Acute Care and Diagnosis | Cushing Syndrome Diagnosis | Diagnosis | conf=High
[OK] Q2023-740 | Chronic Care Management | Hypertension Management | Management | conf=High
[OK] Q2023-741 | Chronic Care Management | COPD Air Travel Management | Counseling | conf=High
[OK] Q2023-742 | Chronic Care Management | Patellofemoral Pain Syndrome | Management | conf=High
[OK] Q2023-743 | Acute Care and Diagnosis | Multiple Sclerosis Exacerbation | Management | conf=High
[OK] Q2023-744 | Foundations of Care | Breaking Bad News | Counseling | conf=High
[OK] Q2023-745 | Acute Care and Diagnosis | Drug-Induced Pancreatitis | Pharmacology | conf=High
[OK] Q2023-746 | Foundations of Care | Schizophrenia Diagnosis | Diagnosis | conf=High
[OK] Q2023-747 | Emergent and Urgent Care | Flexor Tendon Injury | Management | conf=High
[OK] Q2023-748 | Chronic Care Management | Pneumonia Follow-up | Management | conf=High
[OK] Q2023-749 | Chronic Care Management | Helicobacter pylori Treatment Verification | Management | conf=High
[OK] Q2023-750 | Acute Care and Diagnosis | EKG Interpretation | Interpretation | conf=High
[OK] Q2023-751 | Chronic Care Management | Unintentional Weight Loss | Pathophysiology | conf=High
[OK] Q2023-752 | Acute Care and Diagnosis | Breast Pain Postpartum | Management | conf=High
[OK] Q2023-753 | Preventive Care | Neural Tube Defect Prevention | Pathophysiology | conf=High
[OK] Q2023-754 | Acute Care and Diagnosis | Rotator Cuff Tear Diagnosis | Diagnosis | conf=High
[OK] Q2023-755 | Emergent and Urgent Care | Epiglottitis Diagnosis | Management | conf=High
[OK] Q2023-756 | Chronic Care Management | Pediatric Hypertension | Management | conf=High
[OK] Q2023-757 | Chronic Care Management | Monoclonal Gammopathy and Multiple Myeloma | Interpretation | conf=High
[OK] Q2023-758 | Acute Care and Diagnosis | Hematospermia Evaluation | Management | conf=High
[OK] Q2023-759 | Chronic Care Management | PTSD Nightmare Management | Pharmacology | conf=High
[OK] Q2023-760 | Preventive Care | Lung Cancer Screening | Screening | conf=High
[OK] Q2023-761 | Chronic Care Management | Bariatric Surgery Selection | Management | conf=High
[OK] Q2023-762 | Chronic Care Management | Topical Corticosteroid Selection | Pharmacology | conf=High
[OK] Q2023-763 | Chronic Care Management | Type 2 Diabetes Management | Pharmacology | conf=High
[OK] Q2023-764 | Preventive Care | Lower Back Pain Prevention | Management | conf=High
[OK] Q2023-765 | Preventive Care | Cancer Screening | Screening | conf=High
[OK] Q2023-766 | Chronic Care Management | Perioperative Anticoagulation Management | Management | conf=High
[OK] Q2023-767 | Preventive Care | Pneumococcal Vaccination | Management | conf=High
[OK] Q2023-768 | Chronic Care Management | COPD Management | Management | conf=High
[OK] Q2023-769 | Chronic Care Management | Lichen Planus Workup | Diagnosis | conf=High
[OK] Q2023-770 | Emergent and Urgent Care | Hypercalcemia | Diagnosis | conf=High
[OK] Q2023-771 | Acute Care and Diagnosis | Peroneal Tendinopathy | Diagnosis | conf=High
[OK] Q2023-772 | Preventive Care | Lung Cancer Screening | Screening | conf=High
[OK] Q2023-773 | Emergent and Urgent Care | Acute Pharyngitis | Diagnosis | conf=Medium
[OK] Q2023-774 | Chronic Care Management | Binge-Eating Disorder | Diagnosis | conf=High
[OK] Q2023-775 | Preventive Care | Emergency Contraception | Pharmacology | conf=High
[OK] Q2023-776 | Acute Care and Diagnosis | Postoperative Complications | Pathophysiology | conf=High
[OK] Q2023-777 | Emergent and Urgent Care | Cervical Spine Injury | Management | conf=High
[OK] Q2023-778 | Foundations of Care | Informed Consent and Decision-Making Capacity | Counseling | conf=High
[OK] Q2023-779 | Preventive Care | Hepatocellular Carcinoma Screening | Screening | conf=High
[OK] Q2023-780 | Acute Care and Diagnosis | Pleural Effusion Diagnosis | Diagnosis | conf=High
[OK] Q2023-781 | Emergent and Urgent Care | Hypertensive Emergency Management | Management | conf=High
[OK] Q2023-782 | Preventive Care | Vitamin D Screening | Screening | conf=High
[OK] Q2023-783 | Chronic Care Management | Adolescent Major Depressive Disorder | Management | conf=High
[OK] Q2023-784 | Chronic Care Management | Cluster Headache Prophylaxis | Pharmacology | conf=High
[OK] Q2023-785 | Emergent and Urgent Care | Acute Kidney Injury Complications | Management | conf=High
[OK] Q2023-786 | Acute Care and Diagnosis | Skin Cancer Evaluation | Management | conf=High
[OK] Q2023-787 | Acute Care and Diagnosis | Meniscal Tear Diagnosis | Diagnosis | conf=High
[OK] Q2023-788 | Preventive Care | Smoking Cessation | Pharmacology | conf=High
[OK] Q2023-789 | Chronic Care Management | Resistant Hypertension | Diagnosis | conf=High
[OK] Q2023-790 | Chronic Care Management | Oral Hairy Leukoplakia | Management | conf=High
[OK] Q2023-791 | Acute Care and Diagnosis | Vitamin B12 Deficiency Diagnosis | Diagnosis | conf=High
[OK] Q2023-792 | Acute Care and Diagnosis | Labor Management and Delivery | Management | conf=High
[OK] Q2023-793 | Chronic Care Management | Nonalcoholic Fatty Liver Disease | Pathophysiology | conf=High
[OK] Q2023-794 | Chronic Care Management | Systemic Sclerosis Diagnosis | Diagnosis | conf=High
[OK] Q2023-795 | Acute Care and Diagnosis | Thyroid Nodule Evaluation | Diagnosis | conf=High
[OK] Q2023-796 | Chronic Care Management | Insomnia Management | Management | conf=High
[OK] Q2023-797 | Chronic Care Management | Plantar Fasciitis Management | Management | conf=High
[OK] Q2023-798 | Foundations of Care | Public Health Law and Isolation | Management | conf=High
[OK] Q2023-799 | Chronic Care Management | Abdominal Aortic Aneurysm | Management | conf=High
[OK] Q2023-800 | Preventive Care | Influenza Vaccination | Management | conf=High
[OK] Q2024-801 | Chronic Care Management | Lithium-Induced Diabetes Insipidus | Diagnosis | conf=High
[OK] Q2024-802 | Chronic Care Management | Perioperative Anticoagulation Management | Management | conf=High
[OK] Q2024-803 | Chronic Care Management | Hidradenitis Suppurativa | Management | conf=High
[OK] Q2024-804 | Emergent and Urgent Care | Abnormal Uterine Bleeding | Management | conf=High
[OK] Q2024-805 | Acute Care and Diagnosis | QT Prolongation and Drug-Induced Arrhythmia | Management | conf=High
[OK] Q2024-806 | Chronic Care Management | Metabolic Dysfunction-Associated Steatotic Liver Disease | Pharmacology | conf=High
[OK] Q2024-807 | Preventive Care | Cancer Screening | Screening | conf=High
[OK] Q2024-808 | Preventive Care | Refractive Error Management | Diagnosis | conf=High
[OK] Q2024-809 | Chronic Care Management | Osteoporosis Treatment | Management | conf=High
[OK] Q2024-810 | Emergent and Urgent Care | Burn Wound Management | Management | conf=High
[OK] Q2024-811 | Chronic Care Management | Primary Hyperaldosteronism Screening | Pharmacology | conf=High
[OK] Q2024-812 | Chronic Care Management | Overactive Bladder Management | Pharmacology | conf=High
[OK] Q2024-813 | Emergent and Urgent Care | Opportunistic Infection in Immunocompromised Host | Management | conf=High
[OK] Q2024-814 | Acute Care and Diagnosis | Bipolar I Disorder Diagnosis | Diagnosis | conf=High
[OK] Q2024-815 | Chronic Care Management | Cyclical Mastalgia Management | Management | conf=High
[OK] Q2024-816 | Foundations of Care | Corticosteroid Adverse Effects | Pharmacology | conf=High
[OK] Q2024-817 | Chronic Care Management | Posterior Tibial Tendinopathy | Management | conf=High
[OK] Q2024-818 | Acute Care and Diagnosis | Upper Respiratory Tract Infection | Management | conf=High
[OK] Q2024-819 | Chronic Care Management | Hypertension Management | Management | conf=High
[OK] Q2024-820 | Acute Care and Diagnosis | Tinea Capitis | Management | conf=High
[OK] Q2024-821 | Preventive Care | Breastfeeding Benefits and Outcomes | Pathophysiology | conf=High
[OK] Q2024-822 | Chronic Care Management | Varicocele and Male Infertility | Diagnosis | conf=High
[OK] Q2024-823 | Emergent and Urgent Care | Pulmonary Embolism Diagnosis | Diagnosis | conf=High
[OK] Q2024-824 | Chronic Care Management | Orthostatic Hypotension Management | Management | conf=High
[OK] Q2024-825 | Preventive Care | Cardiovascular Risk Reduction | Management | conf=High
[OK] Q2024-826 | Chronic Care Management | Adrenal Mass Evaluation | Management | conf=High
[OK] Q2024-827 | Emergent and Urgent Care | Scaphoid Fracture Management | Management | conf=High
[OK] Q2024-828 | Chronic Care Management | Contraception in High-Risk Patients | Management | conf=High
[OK] Q2024-829 | Chronic Care Management | Oral Candidiasis | Pharmacology | conf=High
[OK] Q2024-830 | Emergent and Urgent Care | Acute Gastrointestinal Bleeding | Diagnosis | conf=High
[OK] Q2024-831 | Acute Care and Diagnosis | Facial Nerve Palsy | Pathophysiology | conf=High
[OK] Q2024-832 | Chronic Care Management | Thyroid Hormone Replacement Adjustment | Management | conf=High
[OK] Q2024-833 | Preventive Care | Community Design and Health Promotion | Counseling | conf=High
[OK] Q2024-834 | Preventive Care | Cancer Screening in Transgender Patients | Screening | conf=High
[OK] Q2024-835 | Acute Care and Diagnosis | Refeeding Syndrome Management | Management | conf=High
[OK] Q2024-836 | Chronic Care Management | Peripheral Edema Differential Diagnosis | Diagnosis | conf=High
[OK] Q2024-837 | Chronic Care Management | Adrenal Insufficiency Management | Management | conf=High
[OK] Q2024-838 | Emergent and Urgent Care | Vertigo and Dizziness | Diagnosis | conf=High
[OK] Q2024-839 | Preventive Care | Breast Cancer Screening | Screening | conf=High
[OK] Q2024-840 | Acute Care and Diagnosis | Cubital Tunnel Syndrome | Diagnosis | conf=High
[OK] Q2024-841 | Emergent and Urgent Care | Severe Hyponatremia Management | Management | conf=High
[OK] Q2024-842 | Acute Care and Diagnosis | Iliotibial Band Syndrome | Diagnosis | conf=High
[OK] Q2024-843 | Preventive Care | Sudden Infant Death Syndrome Prevention | Counseling | conf=High
[OK] Q2024-844 | Acute Care and Diagnosis | Addison Disease | Diagnosis | conf=High
[OK] Q2024-845 | Preventive Care | Hearing Loss Complications | Pathophysiology | conf=High
[OK] Q2024-846 | Acute Care and Diagnosis | Endometriosis Diagnosis | Diagnosis | conf=High
[OK] Q2024-847 | Emergent and Urgent Care | Abdominal Aortic Aneurysm | Diagnosis | conf=High
[OK] Q2024-848 | Emergent and Urgent Care | Cluster Headache Treatment | Pharmacology | conf=High
[OK] Q2024-849 | Preventive Care | Sun Exposure and Skin Cancer Prevention | Counseling | conf=High
[OK] Q2024-850 | Chronic Care Management | Antiphospholipid Syndrome and Thrombophilia | Pharmacology | conf=High
[OK] Q2024-851 | Chronic Care Management | Infantile Hemangioma | Management | conf=High
[OK] Q2024-852 | Chronic Care Management | Bipolar Disorder Pharmacotherapy | Pharmacology | conf=High
[OK] Q2024-853 | Acute Care and Diagnosis | Amyotrophic Lateral Sclerosis | Diagnosis | conf=High
[OK] Q2024-854 | Chronic Care Management | Temporomandibular Joint Disorder | Management | conf=High
[OK] Q2024-855 | Acute Care and Diagnosis | Undescended Testicle | Management | conf=High
[OK] Q2024-856 | Acute Care and Diagnosis | Group A Streptococcal Pharyngitis | Pharmacology | conf=High
[OK] Q2024-857 | Preventive Care | Medication Safety in Pregnancy | Pharmacology | conf=High
[OK] Q2024-858 | Emergent and Urgent Care | Spine Injury Management | Management | conf=High
[OK] Q2024-859 | Preventive Care | Adolescent Contraception Counseling | Counseling | conf=High
[OK] Q2024-860 | Chronic Care Management | Ischemic Stroke Secondary Prevention | Pharmacology | conf=High
[OK] Q2024-861 | Chronic Care Management | PTSD Symptom Management | Pharmacology | conf=High
[OK] Q2024-862 | Emergent and Urgent Care | Febrile Seizure | Diagnosis | conf=Medium
[OK] Q2024-863 | Preventive Care | Cardiovascular Disease Prevention | Screening | conf=High
[OK] Q2024-864 | Chronic Care Management | Venous Insufficiency and Ulcers | Management | conf=High
[OK] Q2024-865 | Foundations of Care | Hypocalcemia Clinical Manifestations | Pathophysiology | conf=High
[OK] Q2024-866 | Chronic Care Management | Post-MI Complications | Diagnosis | conf=High
[OK] Q2024-867 | Acute Care and Diagnosis | Acute HIV Infection | Diagnosis | conf=High
[OK] Q2024-868 | Preventive Care | STI Screening | Screening | conf=High
[OK] Q2024-869 | Chronic Care Management | Fibromyalgia Management | Pharmacology | conf=High
[OK] Q2024-870 | Acute Care and Diagnosis | RBC Transfusion Thresholds | Management | conf=High
[OK] Q2024-871 | Preventive Care | Methadone Adverse Effects | Screening | conf=High
[OK] Q2024-872 | Acute Care and Diagnosis | Lymphadenopathy Evaluation | Diagnosis | conf=High
[OK] Q2024-873 | Chronic Care Management | Anorexia Nervosa Treatment | Management | conf=High
[OK] Q2024-874 | Preventive Care | Lung Cancer Screening | Screening | conf=High
[OK] Q2024-875 | Chronic Care Management | Chronic Kidney Disease Edema Management | Pharmacology | conf=High
[OK] Q2024-876 | Acute Care and Diagnosis | Choledocholithiasis Diagnosis | Diagnosis | conf=High
[OK] Q2024-877 | Preventive Care | Speech and Language Delay | Diagnosis | conf=High
[OK] Q2024-878 | Acute Care and Diagnosis | Microscopic Colitis Diagnosis | Diagnosis | conf=High
[OK] Q2024-879 | Emergent and Urgent Care | Laceration Repair and Wound Management | Management | conf=High
[OK] Q2024-880 | Acute Care and Diagnosis | Infectious Diarrhea Complications | Diagnosis | conf=High
[OK] Q2024-881 | Foundations of Care | Pregnancy Physiology | Pathophysiology | conf=High
[OK] Q2024-882 | Acute Care and Diagnosis | Metatarsal Fracture Complications | Pathophysiology | conf=High
[OK] Q2024-883 | Preventive Care | Fall Prevention in Older Adults | Counseling | conf=High
[OK] Q2024-884 | Chronic Care Management | Vitamin B12 Deficiency | Pathophysiology | conf=High
[OK] Q2024-885 | Preventive Care | Smoking Cessation | Pharmacology | conf=High
[OK] Q2024-886 | Emergent and Urgent Care | Ischemic Colitis | Diagnosis | conf=High
[OK] Q2024-887 | Emergent and Urgent Care | Frostbite Management | Management | conf=High
[OK] Q2024-888 | Preventive Care | Hormonal Contraception Counseling | Counseling | conf=High
[OK] Q2024-889 | Chronic Care Management | Greater Trochanteric Pain Syndrome | Diagnosis | conf=High
[OK] Q2024-890 | Preventive Care | Sports Preparticipation Cardiovascular Screening | Screening | conf=High
[OK] Q2024-891 | Acute Care and Diagnosis | Thrombocytopenia Evaluation | Diagnosis | conf=High
[OK] Q2024-892 | Emergent and Urgent Care | Acute Limb Ischemia | Management | conf=High
[OK] Q2024-893 | Acute Care and Diagnosis | Urinary Tract Infection in Children | Management | conf=High
[OK] Q2024-894 | Chronic Care Management | Polycystic Ovary Syndrome Management | Management | conf=High
[OK] Q2024-895 | Preventive Care | Herpes Zoster Vaccination | Management | conf=High
[OK] Q2024-896 | Emergent and Urgent Care | Child Abuse and Neglect | Diagnosis | conf=High
[OK] Q2024-897 | Chronic Care Management | Tinnitus Management | Management | conf=High
[OK] Q2024-898 | Acute Care and Diagnosis | Midfoot Injury Diagnosis | Diagnosis | conf=High
[OK] Q2024-899 | Acute Care and Diagnosis | Multiple Myeloma Diagnosis | Diagnosis | conf=High
[OK] Q2024-900 | Preventive Care | Obstructive Sleep Apnea Screening | Screening | conf=High
[OK] Q2024-901 | Chronic Care Management | COPD Diagnosis | Diagnosis | conf=High
[OK] Q2024-902 | Acute Care and Diagnosis | Concussion Management | Management | conf=High
[OK] Q2024-903 | Preventive Care | Alcohol Use Screening and Intervention | Management | conf=High
[OK] Q2024-904 | Acute Care and Diagnosis | Intrahepatic Cholestasis of Pregnancy | Diagnosis | conf=High
[OK] Q2024-905 | Foundations of Care | Hidradenitis Suppurativa | Pathophysiology | conf=High
[OK] Q2024-906 | Preventive Care | Vaccine Efficacy and Epidemiology | Interpretation | conf=High
[OK] Q2024-907 | Acute Care and Diagnosis | Adenomyosis Diagnosis | Diagnosis | conf=High
[OK] Q2024-908 | Emergent and Urgent Care | Hip Fracture Diagnosis | Diagnosis | conf=High
[OK] Q2024-909 | Acute Care and Diagnosis | Breast Mass Evaluation | Diagnosis | conf=High
[OK] Q2024-910 | Preventive Care | Cardiovascular Disease Prevention | Counseling | conf=High
[OK] Q2024-911 | Acute Care and Diagnosis | Chronic Cough Evaluation | Diagnosis | conf=High
